MOOD metrics,, 1 dez 2021 19:03:08 WET,,,,
,Attribute Hiding Factor,Attribute Inheritance Factor,Coupling Factor,Method Hiding Factor,Method Inheritance Factor,Polymorphism Factor
Package,AHF,AIF,CF,MHF,MIF,PF
architecture,100%,100%,0%,0%,0%,100%
cli,"85,7142857142857%",0%,"553,333333333333%","32,4324324324324%",0%,100%
gui,"80,8862206866997%","35,6266768876964%","3,14072894157892%","29,4303819203127%","26,5778271330742%","42,5986842105263%"
logic,"80,7869719187989%","8,42696629213483%","2,1287050868779%","33,0867057273925%","23,5115573196358%","57,5015309246785%"
migrations,"90,9090909090909%",0%,"266,666666666667%","57,5%",0%,100%
model,"53,0643147340564%","11,5083798882682%","3,19688109161793%","13,1230718044885%","19,7242841993637%","38,3561643835616%"
preferences,"46,7796610169492%",0%,"126,470588235294%","6,85224839400428%",0%,"102,678571428571%"
styletester,100%,"16,6666666666667%",600%,"16,6666666666667%",0%,100%
project,"75,6994053291018%","25,7021276595745%","1,00976258001051%","27,2809421153751%","23,1382541509124%","49,4679593284464%"
